Timestamp,"How many times have you used PingPong, approximately? ",Why have you chatted with PingPong less than 5 times?,"Would you use PingPong more if it were different? 

If not, why not? If yes, what would need to change about PingPong for you to use it more? ","If you wanted to learn more about a statistical concept, would you prefer to use PingPong or another LLM?","Please elaborate on your response to the previous question. 

If you prefer one LLM over another, why? If you are indifferent, why? ","If course staff were not available, what percentage of your questions could PingPong fully answer? ","What improvements or changes to PingPong would you like to see implemented? 

For example, do you find any features of PingPong frustrating or confusing? If yes, how would you improve those features?","Do you think PingPong has any notable strengths relative to other LLMs like ChatGPT, Gemini, or Claude? 

If yes, which features do you think are the most impactful?","Without access to LLMs, I would attend STAT 131A office hours...","Without LLMs, do you think your understanding of the STAT 131A material would be different? 

If yes, why do you think your understanding would be different? If not, why do you think your understanding would be the same?","Without LLMs, do you think your homework and exam grades in STAT 131A would be different? 

If yes, why do you think your grades would be different? If not, why do you think your grades would be the same?","Which of the following would you prefer?

1. Programming+statistics courses allow students to use any LLM for homework help.

2. Programming+statistics courses only allow customized chatbots, similar to PingPong.

3. Programming+statistics courses do not allow students to use any LLM.
",Please elaborate on your response to the previous question. Why do you prefer your chosen option?,"What concerns, if any, do you have about AI in education? Has PingPong changed your perspective at all? 

For example, are you scared that LLMs may replace human tutors, interpersonal interaction, or office hours? On the other hand, are you optimistic about the future of AI in education?",Which of these classes did you complete before taking STAT 131A? ,"What is (are) your major(s)? 

Please separate majors with commas. ","What is (are) your minor(s)? 

Please separate minors with commas. "
12/2/2024 14:07,Less than 5 chats,"I have not needed help from an LLM in STAT 131A, BUT I use LLMs for help in other classes",,,,,,,About as much as I do now,,,,,,"Data 8, Stat 20",,
12/2/2024 14:08,Less than 5 chats,I prefer NOT to use LLMs for help with ANY of my coursework,Perhaps. I find that it tends to make me more confused or take me on a circuitous route. That may simply be user error. ,,,,,,About as much as I do now,No,No,2. Only customized chatbots,I like having the freedom with restrictions. I know myself and I know that if i use something like ChatGpT I will not actually learn the material. However customized chatbots may be helpful and are proving themselves so for stuff like fake exam questions.,"I have a concern that students will use LLMs and AI as a crutch and will not be able to hold their own. Sites like PingPong do ease that fear, however, because it is built in a way that requires I have an understanding while other LLMs may just spit out answers.","Data 8, CS61A/Data C88C (or other Programming), Stat 133",Cognitive Science,Data Science
12/2/2024 14:08,Less than 5 chats,"I have not needed help from an LLM in STAT 131A, BUT I use LLMs for help in other classes","Maybe? I use Google mostly to find pragmatic solutions to the techniques I think of to solve problems. PingPong is a tutor of existing content, which is not what I need when I am solving problems. 

I may use it more if PingPong instead helped me gather forum resources to approach solutions I can pseudo-code. ",,,,,,About as much as I do now,I don't think so. I don't use them too often and the content in the class is very approachable from a conceptual level. A more technical class would likely have a different relationship to LLMs. ,I do not think so because the tests are usually developed with the above in mind (conceptual over technical) and I did not use LLMs for conceptual help. ,2. Only customized chatbots,I think this gives some amount of accountability to students on the LLMs they use. ,"I think it can be a helpful tool, but I see the most help in being able to perform large amounts of “research” (as in scraping the web) while sifting through unhelpful results. ","Stat 20, CS61A/Data C88C (or other Programming)",Business Administration,"Sustainable Business and Policy, Data Science"
12/2/2024 14:09,10-25 chats,,,I would prefer to use PingPong,"PingPong forces me to share what I know first before answering the question, therefore it knows where my point of confusion is",50%-75%,,"Asking what I know about the topic first, which prompts me to reflect and specify where I need help with ",A little more often,"Yes, I think there would be more gaps in my understanding ","Yes, although I'm not sure if it's a significant change",2. Only customized chatbots,"Because LLM usage shouldn't be a plug and chug kind of thing, so a customized LLM would be preferable as it forces students to think about the concept even just a little bit",,"Data 8, Stat 20, CS61A/Data C88C (or other Programming), Stat 133",Economics,Data Science
12/2/2024 14:10,5-10 chats,,,I would prefer to use PingPong,,50%-75%,,,A little more often,,,2. Only customized chatbots,,,Data 8,Molecular and Cell Biology,Data science
12/2/2024 14:11,10-25 chats,,,I would prefer to use PingPong,I like how PingPong pushes me to remember and explain concepts myself before helping me with my question.,75%-100%,"Sometimes for direct questions, PingPong's guiding questions are too similar to my own question.","The step by step process, asking for understanding at every point.",About as much as I do now,"Probably not. I mostly use lecture slides, and sometimes go to PingPong to refresh my memory, not necessarily to understand concepts differently.","I try to do most of my homework without PingPong, and mainly use it when I can't solve an error, so grades would probably be mostly unchanged.",2. Only customized chatbots,"Customized chatbots are useful for convience, getting help when problems occur. Using all LLMs could lead to students relying on methods very dissimilar to those learned in class, and spending less time on understanding chatbot explanations.","I think they may replace student effort. Even with PingPong's customization, I believe it may remain very easy to minimize individual effort.","Stat 20, CS61A/Data C88C (or other Programming)","Environmental Economics and Policy, Global Studies","Data Science, Chinese"
12/2/2024 14:11,5-10 chats,,,"I would prefer to use another LLM (e.g., ChatGPT, Gemini, or Claude)","I would prefer to use perplexity, as I am a huge fan of further research, and perplexity is more suited for that than PingPong.",50%-75%,,,A little more often,"No, because the other resources adequately cover the material in my opinion","Not sure, it's hard to tell",2. Only customized chatbots,I think it helps more with actual learning,,"Data 8, CS61A/Data C88C (or other Programming), Stat 133",Cogitive Science,Data Science
12/2/2024 14:11,5-10 chats,,,I am indifferent,I like Pingpong as it helps you actually learn but it does take some time to get to the answer if on a time crunch ,50% -75%,Its been a really good experience throughout,Helps the students actually learn,About as much as I do now,Yes particular the concept portion rather than coding portion ,"Yes, I use Pingpong to help me a lot on understanding concept questions for HWs",1. All LLMs allowed,Using a mix of both is beneficial in my case. ,,"Data 8, Data 88S (or other Probability Theory), CS61A/Data C88C (or other Programming), Stat 133",Economics,Data Science 
12/2/2024 14:19,25+ chats,,,I would prefer to use PingPong,I feel like PingPong knows more about the specific questions I ask about the concepts.,25%-50%,Honestly the only improvement I would ask for is giving more room to read the chat going on. Its just a pretty small room/area and wish it was bigger.,"Asking how much you know about a specifc concept or asking a question, before giving an answer since it encourages me to know.",A lot more often,"Yes, because I am someone who likes understand how things work and so sometimes I have in-depth questions to ask and build on. Without LLMs, of course I would go to office hours to get these answered, but sometimes its a quick question I want to ask or its late night and i have no one to turn to; and so a model is right there to answer it.","Yes, again as above. When working through understanding a concept, I want anything I am confused about answered. And since I do not have much time during the day, I study/work mostly at night/late at night, it makes having an LLM basically accessible for small questions and clarity.",2. Only customized chatbots,"Any LLM is just harmful for student's learning, but I feel like I am able to leave PingPong actually understanding concepts and material.",,"Data 8, CS61A/Data C88C (or other Programming)",Media Studies,Data Science
12/2/2024 14:16,5-10 chats,,,I am indifferent,,50%- 75%,,,A lot more often,,"Yes, PingPong helped me clarify doubts, especially at a time crunch, so without it, I would have messed up questions more often.",2. Only customized chatbots,"I think customized chatbots guide you towards figuring out the answer yourself while still clarifying questions, but LLMs like ChatGPT just give you the final answer because they don't try to work with you on the concepts.","While I like how AI has helped in making tasks more efficient, I prefer the time when people put in the work and had to put thought into their work. I fear AI is making us lose our creativity and original thoughts.","Data 8, CS61A/Data C88C (or other Programming)",Psychology,Data Science
